E,DOS
-2.002865395,246.7937754
-1.968481472,384.0555002
-1.891117644,224.6100891
-1.848137534,213.5182459
-1.81375361,221.8370621
-1.770773706,205.1993635
-1.71919782,212.1317324
-1.659025954,205.1993635
-1.590257902,178.8562028
-1.55157609,199.6534419
-1.512893869,177.4696894
-1.474212057,192.7210068
-1.426933855,177.4696894
-1.297994141,162.2184381
-1.242120368,123.3969208
-1.216332425,84.57546961
-1.18624639,91.50783855
-1.156160559,56.84579552
-1.121776635,63.77823057
-1.070200545,6.932368938
-1.001432698,5.545987708
-0.967048774,33.27559568
-0.919770982,4.159474253
-0.872492779,30.50263489
-0.82951308,4.159474253
0.227793596,1.386513455
0.287965668,61.00526977
0.343839646,8.318948506
0.399713624,18.02434435
0.434097548,1.386513455
0.481375341,13.86480399
0.56733515,4.159474253
0.631805314,34.66204303
0.812321118,58.23230898
0.889684741,318.8907562
0.911174796,361.8718138
0.941260626,392.3743826
0.979942643,471.4038645
1.040114714,773.6568228
1.113180654,454.7660336
1.138969212,420.1039906
1.147564578,328.5962181
1.16475654,260.6586455
1.190544278,203.81285
1.229226294,242.6343012
1.255014442,238.474893
1.285100272,275.9098969
1.349570437,464.4714295
1.371060081,443.6741904
1.452722207,608.6655232
1.5,493.5874848
1.521490055,446.4471512
1.581662126,367.4176032
1.637535694,341.0745748
1.671920028,266.2045671
1.710601635,274.5234495
1.753581744,249.5666701
1.796561854,217.677654
1.822349591,184.4021244
1.861031608,256.4991052
1.899713624,248.1802889
1.929799455,284.2287132
1.964183379,267.5910145
1.998568122,303.639571
