E,DOS
-2.002865395,246.7937754
-1.97277936,420.1039906
-1.895415532,232.9289715
-1.775071799,205.1993635
-1.706303747,225.9966025
-1.641833582,207.9722582
-1.431232153,184.4021244
-1.302292234,159.445345
-1.246418461,126.1698816
-1.181948502,61.00526977
-1.100286581,9.705461961
-0.979942643,8.318948506
-0.842406948,1.386513455
0.223495913,-1.386447343
0.283667575,16.6378309
0.343839646,0
0.571633243,2.77302691
0.623209128,34.66204303
0.808023025,58.23230898
0.881088965,318.8907562
0.941260626,399.3068176
0.979942643,471.4038645
1.035816621,862.3916675
1.113180654,456.1525471
1.134670709,425.6499122
1.151862671,329.9827316
1.16475654,260.6586455
1.186246595,167.7643597
1.242120573,202.4264027
1.285100272,275.9098969
1.349570437,465.8578768
1.448424115,643.3275662
1.512893869,485.2686685
1.534383924,449.220112
1.585959809,356.3258261
1.624641826,374.3501044
1.684813897,292.5477278
1.749283651,253.7262105
1.809455722,220.4506809
1.830945777,189.948046
1.865329701,259.2721321
1.912607903,242.6343012
1.929799455,284.2287132
1.968481472,336.9151005
1.998568122,303.639571
