E,DOS
-2.002865395,246.7937754
-1.964183379,299.4800967
-1.938395436,270.3639092
-1.908309605,249.5666701
-1.886819551,225.9966025
-1.839541553,212.1317324
-1.78366778,201.0398231
-1.732091689,201.0398231
-1.667621935,199.6534419
-1.620343733,195.4939676
-1.568768052,187.1750191
-1.525787943,180.2425841
-1.469913759,170.5373204
-1.388252248,164.9913989
-1.319483991,163.6048854
-1.267908311,138.6481721
-1.23782248,102.5996817
-1.19484237,116.4645518
-1.138968597,124.783302
-1.108882561,103.9861291
-1.083094414,70.71059951
-1.044412602,29.11618754
-0.971346662,83.18889004
-0.919770982,44.36750499
-0.868194686,58.23230898
-0.820916894,36.04855648
-0.769341008,31.88914834
-0.726360899,13.86480399
-0.666189237,4.159474253
0.171919618,2.77302691
0.227793596,54.07283472
0.283667575,110.918498
0.326647684,62.391651
0.356733515,45.75395233
0.391117439,18.02434435
0.434097548,2.77302691
0.485673433,8.318948506
0.558739374,1.386513455
0.580229428,18.02434435
0.623209128,1.386513455
0.67048733,26.34322675
0.726360899,37.43506994
0.78653297,51.29987393
0.825214987,48.52684702
0.893982834,196.8804811
0.915472889,292.5477278
0.949856812,310.5719399
0.979942643,378.5095786
0.997134605,403.4661597
1.04871049,525.4766331
1.087392507,456.1525471
1.104584468,404.8527392
1.138969212,327.2097708
1.16475654,303.639571
1.255014442,305.0259522
1.315186103,372.963657
1.358166213,396.5337907
1.392550136,442.2877431
1.439828749,492.2010374
1.487106131,438.1282027
1.512893869,395.1473434
1.538682017,353.5527992
1.581662126,335.5286532
1.624641826,307.7989791
1.650429973,281.4558185
1.710601635,260.6586455
1.749283651,241.2478538
1.779369892,219.0641675
1.818051498,199.6534419
1.865329701,214.9046271
1.899713624,235.7018661
1.955588013,244.0208146
1.994269619,237.0884457
