E,DOS
-2.002865395,246.7937754
-1.97277936,364.6447746
-1.904011512,237.0884457
-1.87822357,238.474893
-1.856733515,216.2912067
-1.81375361,219.0641675
-1.775071799,206.5858108
-1.71919782,206.5858108
-1.654727861,206.5858108
-1.603151976,191.3345595
-1.547277997,196.8804811
-1.517191962,187.1750191
-1.461318188,189.948046
-1.405444005,171.9237678
-1.315186308,156.6725165
-1.255014032,128.9428424
-1.224928406,88.73487775
-1.181948502,97.05369403
-1.16475654,81.80250881
-1.126074318,97.05369403
-1.061604359,13.86480399
-1.031518733,2.77302691
-0.967048774,58.23230898
-0.928366757,23.57026595
-0.868194686,41.59441196
-0.825214577,15.25138356
-0.777937194,13.86480399
-0.717764713,2.77302691
0.206303542,2.77302691
0.266475613,48.52684702
0.287965668,92.894352
0.318051498,30.50263489
0.352435422,16.6378309
0.404011307,6.932368938
0.446991417,4.159474253
0.477077248,13.86480399
0.545845095,4.159474253
0.614613352,20.79717293
0.812321118,58.23230898
0.911174796,316.1178615
0.93266485,359.0987869
0.967048774,415.9445824
0.984240736,468.6309037
1.04871049,671.0572072
1.113180654,451.9930728
1.126074523,420.1039906
1.138969212,321.6637831
1.156160354,271.7504887
1.199140463,253.7262105
1.246419076,280.0693711
1.272206404,278.6828577
1.306590327,384.0555002
1.371060081,443.6741904
1.439828749,551.8197607
1.491404224,492.2010374
1.512893869,440.9012296
1.564470164,367.4176032
1.611748367,353.5527992
1.633238421,321.6637831
1.671920028,287.0017401
1.714899728,263.4314741
1.753581744,239.8614065
1.800859537,223.2236417
1.830945777,201.0398231
1.865329701,248.1802889
1.904011717,224.6100891
1.934097958,271.7504887
1.959885286,255.1127239
1.994269619,270.3639092
