E,DOS
-1.994269414,250.9532497
-1.959885491,264.8180537
-1.925501567,238.474893
-1.873925682,191.3345595
-1.830945572,199.6534419
-1.770773706,185.7886379
-1.714899728,187.1750191
-1.671919823,192.7210068
-1.624641826,187.1750191
-1.581661921,180.2425841
-1.538682017,176.083242
-1.487106131,167.7643597
-1.409742098,158.0589638
-1.358166213,162.2184381
-1.293696253,146.9671206
-1.255014032,127.556395
-1.203438351,127.556395
-1.147564168,137.2617248
-1.104584264,120.62396
-1.074498638,90.12125898
-1.040114304,65.16467791
-0.97564455,97.05369403
-0.924068665,76.25645499
-0.893982834,56.84579552
-0.855300817,66.55119137
-0.790831063,56.84579552
-0.769341008,56.84579552
-0.722063216,27.72960798
-0.614613352,2.77302691
0.14613188,4.159474253
0.197707766,49.91342658
0.223495913,87.34843041
0.266475613,115.0780384
0.30515763,108.1456033
0.33524346,72.09711296
0.356733515,77.64303456
0.386819346,45.75395233
0.425501362,18.02434435
0.446991417,4.159474253
0.481375341,18.02434435
0.532951226,5.545987708
0.575931335,19.4107917
0.631805314,4.159474253
0.683381199,19.4107917
0.747850954,29.11618754
0.799426839,41.59441196
0.855300817,48.52684702
0.924068665,196.8804811
0.954154905,284.2287132
0.984240736,307.7989791
1.018624659,371.5771436
1.040114714,397.9203042
1.070200545,414.558069
1.0916906,386.828461
1.100286376,357.7123396
1.12177643,327.2097708
1.181948911,318.8907562
1.216332425,343.8475356
1.250716349,335.5286532
1.289398775,356.3258261
1.340974251,375.7365517
1.366762398,381.2825394
1.409742098,431.1958338
1.444126022,420.1039906
1.465616076,420.1039906
1.491404224,385.4419475
1.512893869,346.6204303
1.542980109,335.5286532
1.577364033,300.8666102
1.598854088,302.2530575
1.64613188,262.0450929
1.680515804,266.2045671
1.710601635,239.8614065
1.736389782,238.474893
1.783668395,207.9722582
1.818051498,214.9046271
1.843839646,198.2669284
1.886819756,214.9046271
1.916905586,210.7452851
1.955588013,231.5425241
1.994269619,216.2912067
