E,DOS
-9.537614999934629,2004670727986.0708
-9.532844999934664,830311991994.2307
-9.528074999934695,637401743995.571
-9.523304999934727,537426359996.26575
-9.518534999934761,473592311996.7093
-9.513764999934793,428532983997.0224
-9.508994999934824,393799751997.26373
-9.50422499993486,366576407997.4529
-9.49945499993489,344516111997.6062
-9.494684999934925,325741391997.73663
-9.489914999934957,310252247997.84424
-9.485144999934988,296171207997.9421
-9.480374999935023,283967639998.0269
-9.475604999935054,273641543998.09863
-9.470834999935086,263784815998.1671
-9.46606499993512,255336191998.22583
-9.461294999935152,247826303998.278
-9.456524999935187,240316415998.3302
-9.451754999935218,233745263998.37585
-9.44698499993525,228112847998.41498
-9.442214999935285,222011063998.4574
-9.437444999935316,216848015998.49326
-9.432674999935347,212154335998.52588
-9.427904999935382,207930023998.55524
-9.423134999935414,203236343998.58783
-9.418364999935449,199481399998.61392
-9.41359499993548,195726455998.64
-9.408824999935511,191971511998.6661
-9.404054999935546,189155303998.68567
-9.399284999935578,185400359998.71176
-9.394514999935609,182584151998.73135
-9.389744999935644,179767943998.75092
-9.384974999935675,176951735998.77048
-9.38020499993571,174135527998.79004
-9.375434999935742,171788687998.80634
-9.370664999935773,169441847998.82266
-9.365894999935808,166625639998.84222
-9.36112499993584,165217535998.85202
-9.35635499993587,2200397183984.711
-9.351584999935906,2638317527981.668
-9.346814999935937,1695357215988.22
-9.342044999935972,1376186975990.4377
-9.337274999936003,1196888399991.6836
-9.332504999936035,1078607663992.5055
-9.32773499993607,993652055993.0957
-9.3229649999361,926532431993.5621
-9.318194999936132,873024479993.934
-9.313424999936167,828903887994.2405
-9.308654999936198,791354447994.5013
-9.303884999936233,759437423994.7231
-9.299114999936265,730805975994.9221
-9.294344999936296,707337575995.0852
-9.289574999936331,684338543995.245
-9.284804999936362,664155719995.3853
-9.280034999936394,645850367995.5125
-9.275264999936429,629422487995.6266
-9.27049499993646,614872079995.7277
-9.265724999936495,600791039995.8254
-9.260954999936526,587179367995.92
-9.256184999936558,575445167996.0016
-9.251414999936593,563710967996.0831
-9.246644999936624,553854239996.1516
-9.241874999936655,543058775996.2266
-9.23710499993669,534140783996.2886
-9.232334999936722,525222791996.3506
-9.227564999936757,516774167996.40924
-9.222794999936788,509264279996.4614
-9.21802499993682,500815655996.52014
-9.213254999936854,494713871996.56256
-9.208484999936886,486734615996.618
-9.203714999936917,480632831996.6604
-9.198944999936952,474061679996.70605
-9.194174999936983,468429263996.7452
-9.189404999937018,462327479996.7876
-9.18463499993705,457633799996.8202
-9.179864999937081,451062647996.86584
-9.175094999937116,446838335996.8952
-9.170324999937147,441205919996.9343
-9.165554999937179,436981607996.9637
-9.160784999937214,432287927996.9963
-9.156014999937245,427124879997.03217
-9.151244999937276,423369935997.0583
-9.146474999937311,419145623997.08765
-9.141704999937343,415860047997.1105
-9.136934999937377,411166367997.14307
-9.132164999937409,406472687997.17566
-9.12739499993744,404595215997.1887
-9.122624999937475,399901535997.2213
-9.117854999937506,396615959997.24414
-9.113084999937538,393330383997.26697
-9.108314999937573,389575439997.2931
-9.103544999937604,387228599997.3094
-9.098774999937639,383943023997.3322
-9.09400499993767,380657447997.35504
-9.089234999937702,377371871997.37787
-9.084464999937737,375025031997.39417
-9.079694999937768,371270087997.4203
-9.0749249999378,368923247997.4366
-9.070154999937834,367045775997.44965
-9.065384999937866,364229567997.4692
