-8.21989	1750772947199.98950
-8.21167	1255637529599.99270
-8.20345	868914115199.99487
-8.19522	706296110399.99585
-8.18700	612446913599.99634
-8.17878	546914284799.99677
-8.17056	499989686399.99707
-8.16234	462773625599.99719
-8.15411	432838967999.99744
-8.14589	408567623999.99762
-8.13767	387532459199.99774
-8.12945	369733473599.99780
-8.12123	354361622399.99792
-8.11300	340607860799.99799
-8.10478	328472188799.99805
-8.09656	317145561599.99811
-8.08834	306627979199.99817
-8.08012	298537531199.99823
-8.07189	289638038399.99829
-8.06367	1220848603199.99290
-8.05545	1965978863999.98850
-8.04723	1237029499199.99270
-8.03900	1022632627199.99400
-8.03078	901275907199.99475
-8.02256	823607606399.99500
-8.01434	764547335999.99548
-8.00612	720049871999.99573
-7.99789	682833811199.99585
-7.98967	652090108799.99622
-7.98145	627009719999.99634
-7.97323	602738375999.99646
-7.96501	584130345599.99658
-7.95679	565522315199.99670
-7.94856	549341419199.99677
-7.94034	534778612799.99683
-7.93212	521024851199.99695
-7.92390	509698223999.99701
-7.91568	497562551999.99707
-7.90745	487854014399.99707
-7.89923	477336431999.99719
-7.89101	469245983999.99725
-7.88279	459537446399.99731
-7.87457	451446998399.99731
-7.86634	444165595199.99738
-7.85812	437693236799.99738
-7.84990	429602788799.99750
-7.84168	423130430399.99750
-7.83345	417467116799.99750
-7.82523	411803803199.99750
-7.81701	406140489599.99762
-7.80879	400477175999.99762
-7.80057	395622907199.99768
-7.79235	389959593599.99768
-7.78412	385914369599.99774
-7.77590	381060100799.99774
-7.76768	377014876799.99774
-7.75946	372160607999.99780
-7.75124	368924428799.99780
-7.74301	364879204799.99786
-7.73479	360024935999.99786
-7.72657	356788756799.99786
-7.71835	353552577599.99792
-7.71013	350316398399.99792
-7.70190	347080219199.99799
-7.69368	343034995199.99799
-7.68546	340607860799.99799
-7.67724	337371681599.99799
-7.66901	334944547199.99805
-7.66079	330899323199.99805
-7.65257	329281233599.99805
-7.64435	325236009599.99811
-7.63613	323617919999.99811
